epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
97,7713.79,0.75265,1.46544,0.45386,0.51217,1.08413,0.95115,0.88462,0.96333,0.72453,0.95115,0.88462,0.96333,0.66563,0.99742,1.74769,0.37341,0.84103,1.3108,0.0010496,0.0010496,0.0010496
98,7777.65,0.82871,1.72636,0.41447,0.51496,1.09457,0.91662,0.88462,0.95482,0.71386,0.91662,0.88462,0.95482,0.67318,1.04887,1.60461,0.37512,0.75325,1.33393,0.0010397,0.0010397,0.0010397
99,7839.99,0.80029,1.67324,0.46033,0.53705,1.0901,0.91885,0.88462,0.9462,0.71459,0.91885,0.88462,0.94252,0.66718,1.03071,1.61456,0.36382,0.75078,1.29589,0.0010298,0.0010298,0.0010298
100,7904.7,0.85481,1.60874,0.39995,0.55432,1.13897,0.95353,0.88462,0.95826,0.73289,0.95353,0.88462,0.95826,0.66207,1.0084,1.57467,0.35223,0.71307,1.28099,0.0010199,0.0010199,0.0010199
101,7966.95,0.74201,1.48947,0.43994,0.50965,1.06539,0.95981,0.91877,0.96839,0.74754,0.95981,0.91877,0.97277,0.57449,0.95859,1.78244,0.35332,0.66246,1.26849,0.00101,0.00101,0.00101
102,8026.3,0.80529,1.6266,0.43792,0.52344,1.10873,0.95983,0.9192,0.97257,0.76967,0.95983,0.9192,0.95355,0.58336,0.93759,1.76646,0.35603,0.64563,1.24739,0.0010001,0.0010001,0.0010001
103,8084.49,0.74966,1.43109,0.41823,0.50246,1.1166,0.96113,0.95129,0.97997,0.76306,0.95837,0.92308,0.95529,0.64441,0.8986,1.65329,0.34428,0.57063,1.19751,0.0009902,0.0009902,0.0009902
104,8142.34,0.78059,1.56743,0.44862,0.51384,1.05424,0.96122,0.95368,0.97997,0.78661,0.91083,0.88462,0.90712,0.62686,0.89092,1.72983,0.34808,0.54402,1.18778,0.0009803,0.0009803,0.0009803
105,8200.77,0.7909,1.47578,0.46216,0.49698,1.1013,0.92149,0.96154,0.98044,0.76339,0.9169,0.88462,0.95337,0.56537,0.91195,1.84808,0.35587,0.54481,1.22012,0.0009704,0.0009704,0.0009704
106,8259.1,0.77126,1.57697,0.45269,0.5056,1.06233,0.92231,0.96154,0.9808,0.7736,0.95754,0.86772,0.95301,0.61033,0.90485,1.651,0.35183,0.5571,1.21786,0.0009605,0.0009605,0.0009605
107,8316.87,0.82092,1.40831,0.41584,0.49142,1.09208,0.92541,0.95458,0.9757,0.75024,0.88835,0.91822,0.94711,0.67178,0.92221,1.46751,0.34465,0.61854,1.2405,0.0009506,0.0009506,0.0009506
108,8375.83,0.74295,1.68685,0.47083,0.53111,1.07629,0.91137,0.96154,0.97496,0.74097,0.88989,0.96154,0.95314,0.67337,0.95363,1.5436,0.34755,0.63922,1.26935,0.0009407,0.0009407,0.0009407
109,8434.71,0.75593,1.31551,0.43952,0.51427,1.07789,0.9257,0.95846,0.97465,0.73356,0.923,0.92211,0.95889,0.64966,0.91485,1.57941,0.36117,0.63937,1.2217,0.0009308,0.0009308,0.0009308
